Date,Delhi-petrol,Mumbai-petrol,Chennai-petrol,Kolkata-petrol,Delhi-diesel,Mumbai-diesel,Chennai-diesel,Kolkata-diesel
22/Jul/21,101.84,107.83,102.49,102.08,89.87,97.45,94.39,93.02
21/Jul/21,101.84,107.83,102.49,102.08,89.87,97.45,94.39,93.02
20/Jul/21,101.84,107.83,102.49,102.08,89.87,97.45,94.39,93.02
19/Jul/21,101.84,107.83,102.49,102.08,89.87,97.45,94.39,93.02
18/Jul/21,101.84,107.83,102.49,102.08,89.87,97.45,94.39,93.02
17/Jul/21,101.84,107.83,102.49,102.08,89.87,97.45,94.39,93.02
16/Jul/21,101.54,107.54,102.23,101.74,89.87,97.45,94.39,93.02
15/Jul/21,101.54,107.54,102.23,101.74,89.87,97.45,94.39,93.02
14/Jul/21,101.19,107.2,101.92,101.35,89.72,97.29,94.24,92.81
13/Jul/21,101.19,107.2,101.92,101.35,89.72,97.29,94.24,92.81
12/Jul/21,101.19,107.2,101.92,101.35,89.72,97.29,94.24,92.81
11/Jul/21,100.91,106.93,101.67,101.01,89.88,97.46,94.39,92.97
10/Jul/21,100.91,106.93,101.67,101.01,89.88,97.46,94.39,92.97
09/Jul/21,100.56,106.59,101.37,100.62,89.62,97.18,94.15,92.65
08/Jul/21,100.56,106.59,101.37,100.62,89.62,97.18,94.15,92.65
07/Jul/21,100.21,106.25,101.06,100.23,89.53,97.09,94.06,92.5
06/Jul/21,99.86,105.92,100.75,99.84,89.36,96.91,93.91,92.27
05/Jul/21,99.86,105.92,100.75,99.84,89.36,96.91,93.91,92.27
04/Jul/21,99.51,105.58,100.44,99.45,89.36,96.91,93.91,92.27
03/Jul/21,99.16,105.24,100.13,99.04,89.18,96.72,93.72,92.03
02/Jul/21,99.16,105.24,100.13,99.04,89.18,96.72,93.72,92.03
01/Jul/21,98.81,104.9,99.8,98.64,89.18,96.72,93.72,92.03
30/Jun/21,98.81,104.9,99.8,98.64,89.18,96.72,93.72,92.03
29/Jun/21,98.81,104.9,99.8,98.64,89.18,96.72,93.72,92.03
28/Jun/21,98.46,104.56,99.49,98.3,88.9,96.42,93.46,91.75
27/Jun/21,98.46,104.56,99.49,98.3,88.9,96.42,93.46,91.75
26/Jun/21,98.11,104.22,99.19,97.97,88.65,96.16,93.23,91.5
25/Jun/21,97.76,103.89,98.88,97.63,88.3,95.79,92.89,91.15
24/Jun/21,97.76,103.89,98.88,97.63,88.3,95.79,92.89,91.15
23/Jun/21,97.5,103.63,98.65,97.38,88.23,95.72,92.83,91.08
22/Jun/21,97.5,103.63,98.65,97.38,88.23,95.72,92.83,91.08
21/Jun/21,97.22,103.36,98.4,97.12,87.97,95.44,92.58,90.82
20/Jun/21,97.22,103.36,98.4,97.12,87.97,95.44,92.58,90.82
19/Jun/21,96.93,103.08,98.14,96.84,87.69,95.14,92.31,90.54
18/Jun/21,96.93,103.08,98.14,96.84,87.69,95.14,92.31,90.54
17/Jun/21,96.66,102.82,97.91,96.58,87.41,94.84,92.04,90.25
16/Jun/21,96.66,102.82,97.91,96.58,87.41,94.84,92.04,90.25
15/Jun/21,96.41,102.58,97.69,96.34,87.28,94.7,91.92,90.12
14/Jun/21,96.41,102.58,97.69,96.34,87.28,94.7,91.92,90.12
13/Jun/21,96.12,102.3,97.43,96.06,86.98,94.39,91.64,89.83
12/Jun/21,96.12,102.3,97.43,96.06,86.98,94.39,91.64,89.83
11/Jun/21,95.85,102.04,97.19,95.8,86.75,94.15,91.42,89.6
10/Jun/21,95.56,101.76,96.94,95.52,86.47,93.85,91.15,89.32
09/Jun/21,95.56,101.76,96.94,95.52,86.47,93.85,91.15,89.32
08/Jun/21,95.31,101.52,96.71,95.28,86.22,93.58,90.92,89.07
07/Jun/21,95.31,101.52,96.71,95.28,86.22,93.58,90.92,89.07
06/Jun/21,95.03,101.25,96.47,95.02,85.95,93.3,90.66,88.8
05/Jun/21,94.76,100.98,96.23,94.76,85.66,92.99,90.38,88.51
04/Jun/21,94.76,100.98,96.23,94.76,85.66,92.99,90.38,88.51
03/Jun/21,94.49,100.72,95.99,94.5,85.38,92.69,90.12,88.23
02/Jun/21,94.49,100.72,95.99,94.5,85.38,92.69,90.12,88.23
01/Jun/21,94.49,100.72,95.99,94.5,85.38,92.69,90.12,88.23
31/May/21,94.23,100.47,95.76,94.25,85.15,92.45,89.9,88
30/May/21,93.94,100.19,95.51,93.97,84.89,92.17,89.65,87.74
29/May/21,93.94,100.19,95.51,93.97,84.89,92.17,89.65,87.74
